url,title,alias,type,description,quota,warn,hub,share,hubUrl,owners
https://greatheartsazorg.sharepoint.com/sites/AZACS,Archway Scottsdale,AZACS,TeamSite,Archway Classical Academy Scottsdale Site,5120,4608,no,Disabled,https://greatheartsazorg.sharepoint.com/sites/AZHub,rperrault@greatheartsaz.org
https://greatheartsazorg.sharepoint.com/sites/AZATW,Archway Trivium West,AZATW,TeamSite,Archway Classical Academy Trivium West Site,5120,4608,no,Disabled,https://greatheartsazorg.sharepoint.com/sites/AZHub,rperrault@greatheartsaz.org
https://greatheartsazorg.sharepoint.com/sites/AZATE,Archway Trivium East,AZATE,TeamSite,Archway Classical Academy Trivium East Site,5120,4608,no,Disabled,https://greatheartsazorg.sharepoint.com/sites/AZHub,rperrault@greatheartsaz.org
https://greatheartsazorg.sharepoint.com/sites/AZTPA,Trivium Prep,AZTPA,TeamSite,Trivium Preparatory Academy Site,5120,4608,no,Disabled,https://greatheartsazorg.sharepoint.com/sites/AZHub,rperrault@greatheartsaz.org
https://greatheartsazorg.sharepoint.com/sites/AZVPA,Veritas Prep,AZVPA,TeamSite,Veritas Preparatory Academy Site,5120,4608,no,Disabled,https://greatheartsazorg.sharepoint.com/sites/AZHub,rperrault@greatheartsaz.org
https://greatheartsazorg.sharepoint.com/sites/AZACV,Archway Veritas,AZACV,TeamSite,Archway Classical Academy Veritas Site,5120,4608,no,Disabled,https://greatheartsazorg.sharepoint.com/sites/AZHub,rperrault@greatheartsaz.org
https://greatheartsazorg.sharepoint.com/sites/TXHub,Great Hearts Texas Hub,TXHub,CommunicationSite,Great Hearts Texas Hub Site,5120,4608,yes,Disabled,,rperrault@greatheartsaz.org
https://greatheartsazorg.sharepoint.com/sites/TXExt,Great Hearts Texas Extranet,TXExt,TeamSite,Great Hearts Texas External Sharing Site,5120,4608,no,ExternalUserSharingOnly,https://greatheartsazorg.sharepoint.com/sites/TXHub,rperrault@greatheartsaz.org
https://greatheartsazorg.sharepoint.com/sites/TXGFH,Forest Heights Lower School,TXGFH,TeamSite,Great Hearts Forest Heights Lower School Site,5120,4608,no,Disabled,https://greatheartsazorg.sharepoint.com/sites/TXHub,rperrault@greatheartsaz.org
https://greatheartsazorg.sharepoint.com/sites/TXUFH,Forest Heights Upper School,TXUFH,TeamSite,Great Hearts Forest Heights Upper School Site,5120,4608,no,Disabled,https://greatheartsazorg.sharepoint.com/sites/TXHub,rperrault@greatheartsaz.org
https://greatheartsazorg.sharepoint.com/sites/TXNOK,Northern Oaks Lower School,TXNOK,TeamSite,Great Hearts Northern Oaks Upper School Site,5120,4608,no,Disabled,https://greatheartsazorg.sharepoint.com/sites/TXHub,rperrault@greatheartsaz.org
https://greatheartsazorg.sharepoint.com/sites/TXUNO,Northern Oaks Upper School,TXUNO,TeamSite,Great Hearts Northern Oaks Lower School Site,5120,4608,no,Disabled,https://greatheartsazorg.sharepoint.com/sites/TXHub,rperrault@greatheartsaz.org
https://greatheartsazorg.sharepoint.com/sites/TXMVN,Monte Vista North,TXMVN,TeamSite,Great Hearts Monte Vista North Site,5120,4608,no,Disabled,https://greatheartsazorg.sharepoint.com/sites/TXHub,rperrault@greatheartsaz.org
https://greatheartsazorg.sharepoint.com/sites/TXMVS,Monte Vista South,TXMVS,TeamSite,Great Hearts Monte Vista South Site,5120,4608,no,Disabled,https://greatheartsazorg.sharepoint.com/sites/TXHub,rperrault@greatheartsaz.org
https://greatheartsazorg.sharepoint.com/sites/TXWST,Western Hills Lower School,TXWST,TeamSite,Great Hearts Western Hills Lower School Site,5120,4608,no,Disabled,https://greatheartsazorg.sharepoint.com/sites/TXHub,rperrault@greatheartsaz.org
https://greatheartsazorg.sharepoint.com/sites/TXUWH,Western Hills Upper School,TXUWH,TeamSite,Great Hearts Western Hills Upper School Site,5120,4608,no,Disabled,https://greatheartsazorg.sharepoint.com/sites/TXHub,rperrault@greatheartsaz.org
https://greatheartsazorg.sharepoint.com/sites/TXIRV,Irving Lower School,TXIRV,TeamSite,Great Hearts Irving Lower School Site,5120,4608,no,Disabled,https://greatheartsazorg.sharepoint.com/sites/TXHub,rperrault@greatheartsaz.org
https://greatheartsazorg.sharepoint.com/sites/TXUIR,Irving Upper School,TXUIR,TeamSite,Great Hearts Irving Upper School Site,5120,4608,no,Disabled,https://greatheartsazorg.sharepoint.com/sites/TXHub,rperrault@greatheartsaz.org
